ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
10168-20250316,3008134,85527,1,THE ARTS CLUB OF CHICAGO,THE ARTS CLUB OF CHICAGO,201 E ONTARIO ST  1ST &,CHICAGO,IL,60611,2,41,2-41,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,10168,RENEW,,01/15/2025,01/15/2025,N,03/16/2025,03/15/2027,01/15/2025,01/16/2025,AAI,,,41.893253565,-87.622594287,POINT (-87.6225942872089 41.893253564575346)
1619501-20250316,3008563,279209,1,"RUSH ONTARIO, LLC",AC MARRIOTT CHICAGO DOWNTOWN,630 N RUSH ST,CHICAGO,IL,60611,42,22,42-22,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1619501,RENEW,,01/15/2025,01/28/2025,N,03/16/2025,03/15/2027,01/28/2025,01/29/2025,AAI,,,41.893352438,-87.625566988,POINT (-87.62556698832533 41.89335243769719)
1817415-20250316,3008310,220608,1,"SLA SU CASA, INC.",SU CASA,49 E ONTARIO ST,CHICAGO,IL,60611,42,22,42-22,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1817415,RENEW,,01/15/2025,01/22/2025,N,03/16/2025,03/15/2027,01/22/2025,01/23/2025,AAI,,,41.89319256,-87.626172814,POINT (-87.62617281400281 41.89319255965124)
1331159-20250316,3008303,220602,1,"SLA DUE, INC.",PIZZERIA DUE,619 N WABASH AVE 1,CHICAGO,IL,60611,42,22,42-22,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1331159,RENEW,,01/15/2025,01/28/2025,N,03/16/2025,03/15/2027,01/28/2025,02/03/2025,AAI,,,41.893184989,-87.62661003,POINT (-87.62661002969385 41.8931849885056)
1302350-20250316,3008317,242832,1,"MAMA G, LLC",PROOF,1045 N RUSH ST,CHICAGO,IL,60611,42,1,42-1,18,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,1302350,RENEW,,01/15/2025,02/11/2025,N,03/16/2025,03/15/2027,02/11/2025,02/13/2025,AAI,,,41.902163279,-87.628035347,POINT (-87.62803534651201 41.902163278696534)
2886951-20250316,3009638,431551,1,TEATRO TARIAKURI,TEATRO TARIAKURI THEATRE,3117 W 63RD ST 1ST,CHICAGO,IL,60629,15,14,15-14,8,1050,Public Place of Amusement,697 | 698,Live Theatrical and Other Live Cultural Performances (Performing Arts Venue) | Live Theatrical and Other Live Cultural Performances Where Organization is Operating as an Incidental Use In a Building Primarily Used In The Conduct of Activities of a Not-For-Profit Organization,2886951,RENEW,,01/15/2025,01/15/2025,N,03/16/2025,01/15/2027,02/11/2025,02/13/2025,AAI,,3,41.778885845,-87.701489169,POINT (-87.70148916875044 41.778885844975974)
847-20250316,3007314,159,1,"ANDY'S 11 EAST LOUNGE, LTD.",ANDYS 11 EAST LOUNGE,11 E HUBBARD ST 1ST,CHICAGO,IL,60611,42,55,42-55,18,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,847,RENEW,,01/15/2025,01/16/2025,N,03/16/2025,03/15/2027,01/16/2025,01/17/2025,AAI,,,41.889963868,-87.627506922,POINT (-87.62750692235896 41.889963868268154)
2534973-20250316,3009055,373421,2,"HOMESLYCE IS WHERE THE HEART IS, LLC",HOMESLYCE WHEEL HOUSE,934-938 W WEBSTER AVE 1,CHICAGO,IL,60614,43,21,43-21,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2534973,RENEW,,01/15/2025,02/05/2025,N,03/16/2025,03/15/2027,02/05/2025,02/06/2025,AAI,,,41.921866539,-87.652423053,POINT (-87.65242305270903 41.921866539026375)
2501100-20250316,3009409,411798,1,"ANAOLI, LLC",MI TOCAYA,2800 W LOGAN BLVD,CHICAGO,IL,60647,1,8,1-8,14,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2501100,RENEW,,01/15/2025,02/08/2025,N,03/16/2025,03/15/2027,02/08/2025,02/10/2025,AAI,,,41.928574981,-87.697578354,POINT (-87.6975783536939 41.928574981125955)
2492137-20250316,3009363,404550,1,"JALARAM FOODS AND LIQUOR, INC.",BRISTOL DELI & LIQUOR,3084-3086 N MILWAUKEE AVE,CHICAGO,IL,60618,31,25,31-25,25,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,2492137,RENEW,,01/15/2025,02/06/2025,N,03/16/2025,03/15/2027,02/06/2025,02/07/2025,AAI,,,41.937109113,-87.72082349,POINT (-87.72082349029948 41.937109112504686)
1682466-20250316,3008285,217437,2,MCCORMICK & SCHMICK RESTAURANT CORP.,MCCORMICK & SCHMICK'S SEAFOOD RESTAURANT,1 E WACKER DR,CHICAGO,IL,60601,42,9,42-9,1,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1682466,RENEW,,01/15/2025,01/17/2025,N,03/16/2025,03/15/2027,01/17/2025,01/22/2025,AAI,,1,41.886707555,-87.627883478,POINT (-87.6278834784023 41.886707555069805)
1694888-20250216,3003797,302784,1,CARY'S LOUNGE INCORPORATED,CARY'S LOUNGE,2251 W DEVON AVE,CHICAGO,IL,60659,50,32,50-32,24,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,1694888,RENEW,,12/15/2024,02/06/2025,N,02/16/2025,02/15/2027,02/06/2025,02/07/2025,AAI,,43,41.997670704,-87.686991262,POINT (-87.68699126169352 41.99767070403499)
2808982-20250216,3004198,357771,5,"BOTTLENECK 100, LLC",SOUTH BRANCH,100 S WACKER DR  100 & 140,CHICAGO,IL,60606,42,9,42-9,1,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2808982,RENEW,,12/15/2024,01/03/2025,N,02/16/2025,02/15/2027,01/03/2025,01/06/2025,AAI,,,41.880557025,-87.637131776,POINT (-87.63713177610846 41.8805570251432)
47217-20250216,3003255,36471,1,"ALLEN GRAHAM VAN HULLE ENTERPRISES, INC.",THE LUCKY HORSESHOE LOUNGE,3169 N HALSTED ST 1ST,CHICAGO,IL,60657,44,21,44-21,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,47217,RENEW,,12/15/2024,01/06/2025,N,02/16/2025,02/15/2027,01/06/2025,01/07/2025,AAI,,8,41.939876223,-87.649116442,POINT (-87.64911644222865 41.9398762229962)
2013-20250216,3002879,395,1,ROBERT R FEDRO JR,LANGE'S LIQUORS,3500 N SOUTHPORT AVE,CHICAGO,IL,60657,44,43,44-43,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,2013,RENEW,,12/15/2024,01/27/2025,N,02/16/2025,02/15/2027,01/27/2025,01/28/2025,AAI,,27,41.945286155,-87.664116229,POINT (-87.66411622886991 41.945286155082755)
30600-20250216,3003031,14166,1,"3478 NORTH CLARK STREET, INC.",ROADHOUSE 66 GAS N' GRILL,3478 N CLARK ST,CHICAGO,IL,60657,44,38,44-38,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,30600,RENEW,,12/15/2024,01/27/2025,N,02/16/2025,02/15/2027,01/27/2025,01/28/2025,AAI,,17,41.945490352,-87.655309023,POINT (-87.65530902311264 41.945490352324526)
2354687-20250216,3003452,86553,10,"SIDE BY SIDE, INC.",SIDETRACK,3345-3355 N HALSTED ST 1ST & 2ND,CHICAGO,IL,60657,44,33,44-33,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,2354687,RENEW,,12/15/2024,12/15/2024,N,02/16/2025,02/15/2027,12/15/2024,12/16/2024,AAI,,8,41.943132595,-87.649217665,POINT (-87.64921766458053 41.94313259451181)
2031776-20250216,3003036,14298,1,"ROSCOE'S TAVERN, LTD.",ROSCOES TAVERN,3354-3356 N HALSTED ST,CHICAGO,IL,60657,44,42,44-42,19,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,2031776,RENEW,,12/15/2024,12/15/2024,N,02/16/2025,02/15/2027,01/28/2025,01/29/2025,AAI,,17,41.943442912,-87.649517054,POINT (-87.64951705356305 41.94344291172199)
28877-20250216,3003357,85993,2,MIA FRANCESCA CORPORATION,MIA FRANCESCA,3311 N CLARK ST 1-2,CHICAGO,IL,60657,44,20,44-20,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,28877,RENEW,,12/15/2024,01/29/2025,N,02/16/2025,02/15/2027,01/29/2025,01/30/2025,AAI,,17,41.942110267,-87.652249551,POINT (-87.65224955089677 41.94211026659002)
2124-20250216,3002881,422,1,"LA CREPERIE, INC.","LA CREPERIE, INC.",2845 N CLARK ST,CHICAGO,IL,60657,44,45,44-45,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2124,RENEW,,12/15/2024,01/29/2025,N,02/16/2025,02/15/2027,01/29/2025,01/30/2025,AAI,,8,41.933987493,-87.645673858,POINT (-87.64567385828903 41.933987492510155)
68809-20250216,3003120,21063,2,"2100 WEST IRVING PARK ROAD, INC.",O'DONOVAN'S,2100 W IRVING PARK RD 1ST,CHICAGO,IL,60618,47,35,47-35,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,68809,RENEW,,12/15/2024,01/29/2025,N,02/16/2025,02/15/2027,01/29/2025,01/30/2025,AAI,,38,41.954229641,-87.681246806,POINT (-87.68124680611072 41.95422964091824)
46920-20250216,3003252,36379,1,"NATIONAL PASTIME, INC.",UPPER DECK,3544 N CLARK ST 2ND,CHICAGO,IL,60657,44,38,44-38,19,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,46920,RENEW,,12/15/2024,12/17/2024,N,02/16/2025,02/15/2027,01/29/2025,01/30/2025,AAI,,17,41.946683653,-87.656272738,POINT (-87.65627273805016 41.94668365286616)
2446433-20250216,3003586,264630,1,"TD2J, INC.",MERKLE'S BAR & GRILL,3516 N CLARK ST,CHICAGO,IL,60657,44,38,44-38,19,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2446433,RENEW,,12/15/2024,01/09/2025,N,02/16/2025,02/15/2027,01/31/2025,01/31/2025,AAI,,17,41.945991903,-87.655713194,POINT (-87.65571319445823 41.94599190258738)
2797227-20250216,3005878,476465,1,"PMJ2445, LLC",La Victoria Barra + Cocina,2443-2447 N MILWAUKEE AVE 1ST,CHICAGO,IL,60647,1,19,1-19,14,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,2797227,RENEW,,12/15/2024,01/28/2025,N,02/16/2025,02/15/2027,01/28/2025,01/31/2025,AAI,,,41.925703991,-87.701685641,POINT (-87.70168564131465 41.92570399137965)
2797229-20250216,3005877,476465,1,"PMJ2445, LLC",La Victoria Barra + Cocina,2443-2447 N MILWAUKEE AVE 1ST,CHICAGO,IL,60647,1,19,1-19,14,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2797229,RENEW,,12/15/2024,01/28/2025,N,02/16/2025,02/15/2027,01/28/2025,01/31/2025,AAI,,,41.925703991,-87.701685641,POINT (-87.70168564131465 41.92570399137965)
2536425-20250216,3003719,280877,1,3518-22 Clark Corporation,Moe's Cantina,3518-3522 N CLARK ST,CHICAGO,IL,60657,44,38,44-38,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2536425,RENEW,,12/15/2024,02/03/2025,N,02/16/2025,02/15/2027,02/03/2025,02/04/2025,AAI,,17,41.946041779,-87.655753473,POINT (-87.65575347288572 41.94604177875421)
1888526-20250216,3004019,327236,1,"LINCOLN TAP ROOM, INC.",LINCOLN TAP ROOM,3010 N LINCOLN AVE,CHICAGO,IL,60657,32,18,32-18,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,1888526,RENEW,,12/15/2024,01/31/2025,N,02/16/2025,02/15/2027,01/31/2025,02/03/2025,AAI,,27,41.936328218,-87.66420173,POINT (-87.6642017296887 41.93632821811502)
1803396-20250216,3003717,280877,1,3518-22 Clark Corporation,Moe's Cantina,3518-3522 N CLARK ST,CHICAGO,IL,60657,44,38,44-38,19,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,1803396,RENEW,,12/15/2024,02/03/2025,N,02/16/2025,02/15/2027,02/03/2025,02/04/2025,AAI,,17,41.946041779,-87.655753473,POINT (-87.65575347288572 41.94604177875421)
12803-20250216,3002949,6126,1,MONSIGNOR MURPHY'S INCORPORATED,MONSIGNOR MURPHY'S,3019 N BROADWAY  1,CHICAGO,IL,60657,44,5,44-5,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,12803,RENEW,,12/15/2024,01/31/2025,N,02/16/2025,02/15/2027,01/31/2025,02/03/2025,AAI,,8,41.93708671,-87.644154318,POINT (-87.6441543182686 41.93708671022796)
1444569-20250216,3003601,268756,1,"S 2733, INC.",CASEY'S CORNER,2733 W DEVON AVE 1ST,CHICAGO,IL,60659,50,26,50-26,24,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,1444569,RENEW,,12/15/2024,02/03/2025,N,02/16/2025,02/15/2027,02/03/2025,02/04/2025,AAI,,43,41.997469545,-87.69848682,POINT (-87.69848682019041 41.997469544827794)
12801-20250216,3002947,6126,1,MONSIGNOR MURPHY'S INCORPORATED,MONSIGNOR MURPHY'S,3019 N BROADWAY  1,CHICAGO,IL,60657,44,5,44-5,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,12801,RENEW,,12/15/2024,01/31/2025,N,02/16/2025,02/15/2027,01/31/2025,02/03/2025,AAI,,8,41.93708671,-87.644154318,POINT (-87.6441543182686 41.93708671022796)
2808981-20250216,3004200,357771,5,"BOTTLENECK 100, LLC",SOUTH BRANCH,100 S WACKER DR  100 & 140,CHICAGO,IL,60606,42,9,42-9,1,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2808981,RENEW,,12/15/2024,01/03/2025,N,02/16/2025,02/15/2027,01/31/2025,02/03/2025,AAI,,,41.880557025,-87.637131776,POINT (-87.63713177610846 41.8805570251432)
46170-20250216,3003245,36105,1,P & E CORP.,SMILIN' JIM'S SALOON,6306 N WESTERN AVE,CHICAGO,IL,60659,50,43,50-43,24,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,46170,RENEW,,12/15/2024,02/04/2025,N,02/16/2025,02/15/2027,02/04/2025,02/05/2025,AAI,,43,41.996168965,-87.689979162,POINT (-87.68997916163592 41.99616896480926)
2189462-20250216,3004988,375962,1,CHSP TRS LAKESHORE LLC,W CHICAGO-LAKESHORE,644 N LAKE SHORE DR 1-32,CHICAGO,IL,60611,2,63,2-63,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2189462,RENEW,,12/15/2024,01/21/2025,N,02/16/2025,02/15/2027,01/21/2025,02/06/2025,AAI,,,41.893871348,-87.615274777,POINT (-87.61527477728374 41.89387134779289)
1964866-20250216,3003157,27315,1,"1658 CLUB, INCORPORATED",CODY'S PUBLIC HOUSE,1658 W BARRY AVE 1,CHICAGO,IL,60657,32,40,32-40,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1964866,RENEW,,12/15/2024,12/16/2024,N,02/16/2025,02/15/2027,12/16/2024,12/16/2024,AAI,,27,41.937951353,-87.670908757,POINT (-87.67090875737219 41.93795135333893)
31225-20250216,3003037,14298,1,"ROSCOE'S TAVERN, LTD.",ROSCOE'S TAVERN LTD,3354-3356 N HALSTED ST,CHICAGO,IL,60657,44,42,44-42,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,31225,RENEW,,12/15/2024,12/15/2024,N,02/16/2025,02/15/2027,12/15/2024,12/16/2024,AAI,,17,41.943442912,-87.649517054,POINT (-87.64951705356305 41.94344291172199)
2284186-20250216,3003796,302784,1,CARY'S LOUNGE INCORPORATED,CARY'S LOUNGE,2251 W DEVON AVE,CHICAGO,IL,60659,50,32,50-32,24,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2284186,RENEW,,12/15/2024,02/06/2025,N,02/16/2025,02/15/2027,02/06/2025,02/07/2025,AAI,,43,41.997670704,-87.686991262,POINT (-87.68699126169352 41.99767070403499)
1990939-20250216,3002931,4271,2,"ETHIO CAFE', INC.",COUNTRY CLUB,3462 N CLARK ST 1ST AND 2ND,CHICAGO,IL,60657,44,38,44-38,19,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,1990939,RENEW,,12/15/2024,12/17/2024,N,02/16/2025,02/15/2027,02/07/2025,02/10/2025,AAI,,17,41.945049681,-87.654953222,POINT (-87.65495322178364 41.945049680893675)
45576-20250216,3003239,35870,1,"TOKYO ENTERPRISES, LTD.",PARROTS BAR & GRILL,754-756 W WELLINGTON AVE 1ST,CHICAGO,IL,60657,44,6,44-6,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,45576,RENEW,,12/15/2024,02/08/2025,N,02/16/2025,02/15/2027,02/08/2025,02/10/2025,AAI,,8,41.936500263,-87.648927506,POINT (-87.64892750557354 41.936500263308446)
1176-20250216,3002861,224,1,FRIAR TUCK INC.,FRIAR TUCK INC.,3010 N BROADWAY  1ST,CHICAGO,IL,60657,44,6,44-6,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,1176,RENEW,,12/15/2024,02/10/2025,N,02/16/2025,02/15/2027,02/10/2025,02/10/2025,AAI,,8,41.936824133,-87.644439454,POINT (-87.64443945442758 41.93682413326325)
1197878-20250216,3003510,222589,1,"T33, INC.",THE GREEN LADY,3328 N LINCOLN AVE,CHICAGO,IL,60657,32,38,32-38,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,1197878,RENEW,,12/15/2024,02/10/2025,N,02/16/2025,02/15/2027,02/10/2025,02/11/2025,AAI,,27,41.942385472,-87.670713838,POINT (-87.67071383788313 41.94238547241118)
1820783-20250216,3003115,20800,2,"MAMA LOUKAS, INC.",VINES ON CLARK,3550-3554 N CLARK ST 1,CHICAGO,IL,60657,44,38,44-38,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1820783,RENEW,,12/15/2024,02/10/2025,N,02/16/2025,02/15/2027,02/10/2025,02/11/2025,AAI,,17,41.946843708,-87.65640059,POINT (-87.65640059044576 41.94684370762542)
2529160-20250216,3003114,20800,2,"MAMA LOUKAS, INC.",VINES ON CLARK,3550-3554 N CLARK ST 1,CHICAGO,IL,60657,44,38,44-38,19,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2529160,RENEW,,12/15/2024,02/10/2025,N,02/16/2025,02/15/2027,02/10/2025,02/11/2025,AAI,,17,41.946843708,-87.65640059,POINT (-87.65640059044576 41.94684370762542)
1577039-20250216,3003113,20800,2,"MAMA LOUKAS, INC.",VINES ON CLARK,3550-3554 N CLARK ST 1,CHICAGO,IL,60657,44,38,44-38,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1577039,RENEW,,12/15/2024,02/10/2025,N,02/16/2025,02/15/2027,02/10/2025,02/11/2025,AAI,,17,41.946843708,-87.65640059,POINT (-87.65640059044576 41.94684370762542)
31227-20250216,3003039,14298,1,"ROSCOE'S TAVERN, LTD.",ROSCOE'S TAVERN LTD,3354-3356 N HALSTED ST,CHICAGO,IL,60657,44,42,44-42,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,31227,RENEW,,12/15/2024,12/15/2024,N,02/16/2025,02/15/2027,12/15/2024,12/16/2024,AAI,,17,41.943442912,-87.649517054,POINT (-87.64951705356305 41.94344291172199)
39846-20250216,3003223,34063,1,"GASTHAUS ZUM LOEWEN, INC.",THE REVELER,1954-1958 W ROSCOE ST 1ST,CHICAGO,IL,60657,32,9,32-9,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,39846,RENEW,,12/15/2024,01/14/2025,N,02/16/2025,02/15/2027,01/14/2025,02/13/2025,AAI,,,41.943328037,-87.678184165,POINT (-87.67818416456056 41.943328037206484)
36451-20250216,3002959,6642,1,BUCKS SALOON INC,REPLAY,3439 N HALSTED ST,CHICAGO,IL,60657,44,33,44-33,19,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,36451,RENEW,,12/15/2024,01/15/2025,N,02/16/2025,02/15/2027,01/15/2025,02/13/2025,AAI,,18,41.944817126,-87.649265431,POINT (-87.64926543059727 41.944817125602)
2354689-20250216,3003451,86553,10,"SIDE BY SIDE, INC.",SIDETRACK,3345-3355 N HALSTED ST 1ST & 2ND,CHICAGO,IL,60657,44,33,44-33,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2354689,RENEW,,12/15/2024,12/15/2024,N,02/16/2025,02/15/2027,12/15/2024,12/16/2024,AAI,,8,41.943132595,-87.649217665,POINT (-87.64921766458053 41.94313259451181)
46242-20250216,3003079,16640,1,KARAOKE RESTAURANT & BAR INC.,U STAR KARAOKE,6248 N CALIFORNIA AVE 1,CHICAGO,IL,60659,50,26,50-26,24,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,46242,RENEW,,12/15/2024,02/11/2025,N,02/16/2025,02/15/2027,02/11/2025,02/13/2025,AAI,,,41.995399589,-87.699711339,POINT (-87.6997113393183 41.99539958897028)
36452-20250216,3002960,6642,1,BUCKS SALOON INC,REPLAY,3439 N HALSTED ST,CHICAGO,IL,60657,44,33,44-33,19,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,36452,RENEW,,12/15/2024,01/15/2025,N,02/16/2025,02/15/2027,01/15/2025,02/13/2025,AAI,,18,41.944817126,-87.649265431,POINT (-87.64926543059727 41.944817125602)
